Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
4,3,1,1,0,4,4,3,1,0,80,0,2,0,0,1722,15,400,2,4,3,1,6,8,0,0,0,3,0,0,1994,2,No
4,1,5,1,0,5,4,2,1,0,33,0,1,0,1,1723,9,400,2,4,3,2,5,4,0,0,0,0,4,2,1994,1,No
4,1,1,0,0,3,5,4,0,1,48,0,0,2,2,1724,4,400,3,4,3,2,6,6,0,0,0,0,0,0,1994,0,No
3,3,0,1,0,1,4,2,0,1,36,0,1,0,2,1725,5,400,4,4,3,1,6,5,0,0,0,3,0,0,1994,1,No
3,1,4,1,0,2,3,4,0,1,30,0,2,0,5,1726,13,400,2,4,3,0,6,4,0,0,0,0,0,0,1994,2,No
2,2,1,1,0,1,2,2,1,1,32,0,0,2,1,1727,9,400,2,4,3,2,5,4,0,0,0,3,0,0,1994,0,No
1,2,2,11,0,3,1,2,0,0,51,1,0,2,3,1728,1,400,3,4,3,1,6,6,0,0,0,3,0,0,1994,0,No
1,1,1,5,0,3,1,3,0,1,51,1,1,0,2,1729,15,400,2,4,3,2,7,6,0,0,0,3,0,0,1994,1,No
1,1,1,1,0,3,1,2,1,1,31,0,0,2,1,1730,11,400,4,4,3,3,5,4,0,0,0,3,2,0,1994,0,No
1,1,1,5,0,2,1,2,1,1,33,0,1,0,1,1731,11,400,3,4,3,1,6,4,0,0,0,2,0,0,1994,1,No
1,1,1,0,0,3,1,3,1,1,41,0,7,2,5,1732,16,400,4,4,3,0,6,5,0,0,0,0,0,0,1994,1,No
2,1,5,0,0,3,2,2,0,1,54,1,7,2,5,1733,7,400,3,4,3,0,7,6,0,0,0,0,0,0,1994,1,No
1,1,3,6,0,4,1,3,0,1,45,0,0,2,5,1734,14,400,2,4,3,1,7,5,0,0,0,2,0,0,1994,0,No
1,1,3,1,0,2,1,2,0,1,49,0,0,2,1,1735,4,500,2,4,3,3,7,6,0,0,0,3,3,0,1994,0,No
0,5,2,3,0,4,1,3,0,1,55,0,0,2,2,1736,13,400,1,4,3,1,6,6,0,0,0,0,0,0,1994,0,No
2,1,6,0,0,3,2,3,0,0,0,0,2,0,5,1737,16,400,1,4,3,0,0,0,0,0,0,0,0,0,1994,2,Yes
2,1,6,1,0,2,2,2,0,1,36,0,2,0,5,1738,4,400,4,4,3,1,6,5,0,0,0,3,0,0,1994,2,Yes
0,5,2,0,0,3,1,1,0,0,33,0,0,2,1,1739,15,400,2,4,3,0,4,4,0,0,0,0,0,0,1994,0,No
0,4,5,3,0,2,1,2,1,0,27,1,1,0,1,1740,3,400,1,4,3,2,6,4,0,0,0,3,0,0,1994,1,No
0,5,6,1,0,1,1,1,0,1,29,0,0,2,2,1741,6,400,1,4,3,3,6,4,0,0,0,0,0,0,1994,0,No
0,4,4,3,0,5,0,4,1,0,29,0,1,0,2,1742,8,400,4,4,3,2,5,4,0,0,0,0,0,0,1994,1,No
0,4,2,1,0,3,1,2,1,1,45,0,0,2,2,1743,16,400,3,4,3,2,6,5,0,0,0,2,0,0,1994,0,No
0,4,3,0,0,4,0,4,0,1,34,1,1,0,1,1744,9,400,2,4,3,1,6,4,0,0,0,1,4,1,1994,1,No
0,4,6,5,0,2,0,5,0,0,31,0,0,2,1,1745,13,400,3,4,3,1,5,4,0,0,0,3,0,0,1994,0,No
2,1,6,0,0,3,2,2,1,1,40,1,2,0,1,1746,3,400,2,4,3,0,5,5,0,0,0,2,0,0,1994,2,No
0,4,1,3,0,4,0,4,0,0,18,0,7,2,5,1747,6,400,1,4,3,0,4,2,0,0,0,0,0,0,1994,1,No
0,4,6,0,0,4,0,4,0,1,55,0,7,2,5,1748,15,400,1,4,3,0,6,6,0,0,0,0,0,0,1994,1,No
0,4,1,1,0,3,0,4,0,0,37,0,0,2,2,1749,16,400,2,4,3,3,6,5,0,0,0,0,0,0,1994,0,No
0,3,5,5,0,3,0,4,0,1,48,0,0,2,2,1750,4,400,1,4,3,2,7,6,0,0,0,3,0,0,1994,0,No
0,3,6,2,0,1,0,3,0,1,38,0,1,0,5,1751,14,400,3,4,3,0,6,5,0,0,0,0,0,0,1994,1,No
0,3,6,1,0,2,0,3,0,1,78,0,2,0,0,1752,4,400,1,4,3,0,7,8,0,0,0,3,0,0,1994,2,No
0,3,1,5,0,2,0,3,0,1,42,1,1,0,1,1753,11,400,1,4,3,0,6,5,0,0,0,0,0,0,1994,1,No
2,1,6,4,0,2,2,4,0,1,48,1,2,0,5,1754,13,400,1,4,3,2,7,6,0,0,0,2,0,0,1994,2,No
0,1,3,5,1,4,0,1,0,1,61,0,1,0,2,1755,4,400,2,4,3,1,7,7,0,0,0,3,0,0,1994,1,No
0,1,2,2,0,3,0,2,0,1,42,0,1,0,5,1756,6,400,2,4,3,0,7,5,0,0,0,0,0,0,1994,1,No
0,1,4,11,0,1,0,2,0,1,60,0,1,0,3,1757,10,400,3,4,3,3,7,7,0,0,0,3,0,0,1994,1,No
11,5,4,1,0,1,0,3,0,0,25,0,2,0,1,1758,11,400,1,4,3,2,4,3,0,0,0,1,0,0,1994,2,No
11,5,3,0,0,4,0,2,0,1,55,0,0,2,5,1759,15,400,1,4,3,1,6,6,0,0,0,2,0,0,1994,0,No
11,2,2,4,0,2,11,2,1,3,36,0,1,0,1,1760,7,400,2,4,3,1,5,5,0,0,0,0,0,0,1994,1,No
10,1,3,5,0,1,10,2,0,0,51,0,1,0,1,1761,8,400,4,4,3,0,7,6,0,0,0,3,0,0,1994,1,No
9,4,4,1,0,3,0,4,0,1,44,0,0,2,1,1762,4,400,1,4,3,3,6,5,1,0,0,3,0,0,1994,0,No
8,4,0,5,0,2,8,4,0,1,32,0,2,0,1,1763,8,400,1,4,3,1,5,4,0,0,0,0,0,0,1994,2,No
8,3,0,1,0,3,8,5,0,1,39,0,0,2,1,1764,5,400,4,4,3,2,6,5,0,0,0,1,0,2,1994,0,No
8,2,1,5,0,1,8,2,0,0,31,0,1,0,1,1765,14,400,4,4,3,0,6,4,0,0,0,0,4,1,1994,1,No
2,1,6,0,0,2,2,2,0,0,0,0,2,0,5,1766,1,400,2,4,3,1,0,0,0,0,0,0,0,0,1994,2,Yes
7,3,6,5,0,2,7,4,0,1,44,0,1,0,1,1767,7,400,3,4,3,3,6,5,0,0,0,3,0,0,1994,1,No
7,3,6,8,1,1,7,5,0,0,34,0,0,2,1,1768,7,400,4,4,3,0,5,4,0,0,0,0,0,0,1994,0,No
7,1,6,11,0,3,7,2,1,0,40,0,2,0,5,1769,8,400,2,4,3,2,5,5,0,0,0,0,0,0,1994,2,No
7,1,2,5,1,2,7,1,1,0,29,0,2,0,2,1770,15,400,3,4,3,2,6,4,0,0,0,0,0,0,1994,2,No
6,4,5,5,0,5,6,4,0,0,30,0,0,2,1,1771,14,400,1,4,3,2,6,4,0,0,0,0,0,0,1994,0,No
6,1,6,5,0,3,6,2,0,0,36,0,2,0,2,1772,5,400,2,4,3,3,6,5,0,0,0,2,0,0,1994,2,No
6,1,5,0,1,2,6,1,0,1,36,1,2,0,1,1773,14,400,1,4,3,1,7,5,0,0,0,0,0,0,1994,2,No
5,4,1,6,0,2,6,2,0,1,26,0,0,2,1,1774,14,400,3,4,3,0,6,4,0,0,1,2,0,0,1994,0,No
5,1,5,1,0,2,5,2,0,1,40,0,2,0,1,1775,14,400,3,4,3,0,6,5,0,0,0,3,0,0,1994,2,No
4,4,2,7,0,3,4,4,0,0,32,0,1,0,2,1776,15,400,3,4,3,0,6,4,0,0,0,3,0,0,1994,1,No
4,2,5,4,0,1,4,3,0,1,35,1,1,0,2,1777,16,400,4,4,3,0,6,4,0,0,0,2,0,0,1994,1,No
2,1,0,3,0,1,2,2,0,0,29,0,1,0,2,1778,3,400,4,4,3,3,5,4,0,0,0,2,0,0,1994,1,Yes
4,1,1,11,1,2,4,1,0,0,32,1,1,0,1,1779,12,400,4,4,3,2,5,4,0,0,0,3,0,0,1994,1,No
3,3,1,3,0,4,3,4,0,0,35,0,1,0,1,1780,10,400,2,4,3,2,5,4,0,0,0,3,0,0,1994,1,No
2,1,0,3,1,1,2,2,0,1,30,0,1,0,5,1781,4,400,4,4,3,2,5,4,0,0,0,0,0,0,1994,1,Yes
0,3,3,1,0,3,0,3,0,0,30,0,1,0,1,1782,13,400,4,4,3,1,5,4,0,0,0,0,0,0,1994,1,No
0,3,2,1,0,3,0,3,0,1,47,0,0,2,1,1783,16,400,4,4,3,3,7,6,0,0,0,2,0,0,1994,0,No
0,3,3,3,0,5,0,5,0,1,50,0,0,2,3,1784,10,400,3,4,3,2,7,6,0,0,0,3,0,0,1994,0,No
0,3,1,4,0,3,0,3,0,1,35,0,0,2,1,1785,6,400,3,4,3,3,6,4,0,0,0,1,0,0,1994,0,No
0,3,1,5,0,4,0,3,0,1,63,0,2,0,0,1786,13,500,4,4,3,2,6,7,0,0,0,1,3,1,1994,2,No
0,3,0,4,0,2,0,3,0,0,34,0,1,0,1,1787,2,400,3,4,3,0,4,4,0,0,0,3,0,0,1994,1,No
0,3,1,5,1,3,0,3,0,1,40,1,1,0,1,1788,5,400,2,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
10,4,6,0,0,4,1,1,0,0,17,0,7,2,5,1789,10,400,3,4,3,2,1,1,0,0,0,0,0,0,1994,1,No
2,1,0,1,0,2,2,2,0,1,51,0,1,0,2,1790,14,400,4,4,3,2,7,6,0,0,0,1,0,0,1994,1,Yes
10,4,0,5,0,3,0,1,0,1,47,0,2,0,1,1791,14,400,4,4,3,2,7,6,0,0,0,1,0,0,1994,2,No
9,4,3,0,0,5,10,3,0,0,0,0,2,0,5,1792,12,400,2,4,3,2,0,0,0,0,0,0,0,0,1994,2,No
10,2,5,5,1,3,0,2,0,0,27,0,2,0,0,1793,9,400,4,4,3,0,5,4,0,0,0,0,0,0,1994,2,No
7,2,5,5,0,2,0,4,0,1,55,0,0,2,1,1794,11,400,2,4,3,2,5,6,0,0,0,0,0,0,1994,0,No
1,3,5,2,0,4,2,1,0,1,67,0,5,1,5,1795,11,400,3,4,3,0,7,8,0,0,0,2,0,0,1994,2,No
1,2,2,5,1,3,1,2,0,0,29,1,1,0,1,1796,3,400,2,4,3,2,6,4,0,0,0,1,0,0,1994,1,No
1,2,2,11,0,3,1,2,1,1,35,0,1,0,2,1797,16,400,4,4,3,1,4,4,0,0,0,0,0,0,1994,1,No
2,1,6,6,0,3,3,1,0,1,36,0,0,2,1,1798,8,400,4,4,3,1,5,5,0,0,0,0,0,0,1994,0,No
1,3,1,5,0,5,1,3,1,2,55,0,1,0,1,1799,11,700,3,4,3,2,6,6,0,0,0,0,0,0,1994,1,No
0,5,6,3,0,2,1,1,0,1,36,1,2,0,0,1800,2,400,3,4,3,2,7,5,0,0,0,3,0,0,1994,2,No
0,5,1,0,0,2,1,1,0,0,0,0,0,2,5,1801,8,400,3,4,3,3,0,0,0,0,0,0,0,0,1994,0,No
1,2,5,5,0,2,3,4,0,0,26,1,2,0,2,1802,10,400,2,4,3,1,5,4,0,0,0,2,0,0,1994,2,No
4,5,0,4,1,2,4,5,1,0,37,0,1,0,1,1803,7,400,1,4,3,3,6,5,0,0,0,0,0,0,1994,1,No
4,2,0,5,0,2,4,2,0,0,27,0,2,0,1,1804,8,400,1,4,3,2,6,4,0,0,0,0,0,0,1994,2,No
9,5,1,5,0,1,9,5,0,1,48,0,1,0,1,1805,5,400,2,4,3,0,7,6,0,0,0,0,0,2,1994,1,No
2,4,1,5,0,2,2,4,0,1,66,1,2,0,2,1806,6,400,4,4,3,0,7,8,0,0,0,0,0,0,1994,2,No
4,4,3,5,0,4,4,4,0,1,60,0,1,0,1,1807,1,400,3,4,3,0,5,7,0,0,0,3,4,1,1994,1,No
4,3,1,3,0,1,4,3,1,0,32,0,0,2,2,1808,16,400,3,4,3,1,5,4,0,0,0,0,0,0,1994,0,No
4,2,3,0,0,2,4,3,1,0,26,0,2,0,0,1809,6,400,2,4,3,0,5,4,0,0,0,1,0,0,1994,2,No
5,3,6,5,0,2,6,1,0,0,28,0,0,2,1,1810,1,400,3,4,3,2,5,4,0,0,0,1,0,0,1994,0,No
5,3,2,1,0,3,5,3,0,1,27,0,0,2,5,1811,7,400,4,4,3,3,5,4,0,0,0,0,0,0,1994,0,No
2,1,0,0,0,3,2,3,0,0,19,0,7,2,5,1812,8,400,1,4,3,0,2,2,0,0,0,0,0,0,1994,1,Yes
7,3,2,5,0,2,7,3,0,1,43,0,1,0,5,1813,9,400,4,4,3,2,6,5,0,0,0,1,0,0,1994,1,No
8,4,4,4,0,1,8,4,0,1,32,0,0,2,2,1814,7,400,1,4,3,3,5,4,0,0,0,0,0,0,1994,0,No
8,1,2,4,0,3,8,3,0,1,33,1,2,0,5,1815,1,400,1,4,3,3,6,4,0,0,0,3,0,0,1994,2,No
2,2,1,1,0,2,2,3,0,1,35,1,1,0,2,1816,9,400,1,4,3,2,5,4,0,1,0,1,0,0,1994,1,No
0,2,4,6,0,4,0,3,1,1,44,0,1,0,2,1817,9,400,3,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
0,2,5,5,0,1,0,3,0,1,60,0,1,0,5,1818,1,400,4,4,3,0,7,7,0,0,0,3,0,0,1994,1,No
0,2,3,11,0,5,0,3,0,1,41,1,1,0,2,1819,16,400,1,4,3,1,7,5,0,0,0,3,0,0,1994,1,No
2,3,6,3,1,2,3,2,0,1,33,0,2,0,1,1820,16,400,1,4,3,1,5,4,0,0,0,0,0,0,1994,2,No
3,2,6,5,0,2,3,2,1,0,34,0,1,0,1,1821,16,400,3,4,3,0,5,4,0,0,0,2,2,0,1994,1,No
3,2,0,5,0,1,3,2,1,2,42,0,1,0,1,1822,10,400,4,4,3,2,5,5,0,0,0,0,0,0,1994,1,No
3,5,6,3,0,2,4,1,0,1,26,1,1,0,1,1823,4,400,3,4,3,3,6,4,0,0,0,1,0,0,1994,1,No
4,3,3,4,1,2,8,1,0,1,41,0,1,0,1,1824,5,400,4,4,3,1,6,5,0,0,0,0,0,0,1994,1,No
4,2,6,3,0,1,4,5,0,1,31,0,1,0,1,1825,15,400,1,4,3,2,6,4,0,0,0,1,0,0,1994,1,No
5,5,4,0,0,4,6,1,0,0,24,0,7,2,5,1826,6,400,1,4,3,0,5,3,0,0,0,0,0,0,1994,1,No
8,2,2,4,0,2,8,4,1,1,29,0,0,2,1,1827,8,400,1,4,3,1,5,4,0,0,0,2,0,0,1994,0,No
8,2,4,1,0,2,9,4,0,0,31,0,1,0,2,1828,13,400,2,4,3,0,6,4,0,0,0,0,4,1,1994,1,No
9,5,6,4,0,1,9,5,0,1,79,1,1,0,1,1829,4,400,4,4,3,1,7,8,0,0,0,0,0,0,1994,1,No
9,4,2,4,0,3,9,4,0,0,49,1,1,0,2,1830,6,700,2,4,3,0,7,6,1,0,0,3,0,0,1994,1,No
11,1,0,3,0,2,11,1,1,0,19,0,0,2,1,1831,5,400,4,4,3,1,1,2,0,0,0,0,0,0,1994,0,No
10,2,5,3,0,4,10,3,0,1,28,0,0,2,1,1832,6,400,2,4,3,3,6,4,0,0,0,3,0,0,1994,0,No
9,4,2,1,0,4,9,4,0,0,30,0,1,0,1,1833,5,400,1,4,3,1,5,4,0,0,0,0,0,0,1994,1,No
8,2,4,5,0,5,8,2,0,1,45,0,0,2,2,1834,1,400,3,4,3,0,7,5,0,0,0,1,0,0,1994,0,No
6,2,2,5,0,1,6,3,1,0,41,1,2,0,1,1835,16,400,3,4,3,0,6,5,0,0,0,3,0,0,1994,2,No
6,1,3,1,1,1,6,5,0,0,48,0,1,0,2,1836,12,400,3,4,3,1,7,6,0,0,0,1,0,0,1994,1,No
5,4,1,4,0,1,5,4,0,1,46,0,0,2,2,1837,1,500,2,4,3,2,6,6,0,0,0,0,3,0,1994,0,No
5,3,1,0,0,1,5,3,0,0,31,0,1,0,1,1838,12,400,4,4,3,2,5,4,0,0,0,0,0,0,1994,1,No
5,3,2,1,0,4,5,4,0,1,56,1,1,0,1,1839,6,400,2,4,3,1,7,7,0,0,0,0,0,0,1994,1,No
5,3,5,3,0,2,5,3,0,1,37,1,2,0,1,1840,9,400,3,4,3,0,5,5,0,0,0,0,0,0,1994,2,No
5,3,5,5,1,2,5,3,0,1,62,0,1,0,2,1841,12,400,3,4,3,2,6,7,0,0,0,3,0,0,1994,1,No
5,3,5,5,0,1,5,3,0,1,40,0,0,2,2,1842,4,400,3,4,3,2,7,5,0,0,0,3,0,0,1994,0,No
4,2,1,1,0,1,4,2,1,1,45,0,2,0,1,1843,6,400,4,4,3,1,5,5,0,0,0,3,0,0,1994,2,No
3,3,3,1,0,3,4,2,0,1,38,1,2,0,1,1844,9,400,1,4,3,2,6,5,0,0,0,0,0,0,1994,2,No
2,2,1,5,0,3,2,2,0,0,22,1,2,0,1,1845,16,400,4,4,3,2,4,3,0,0,0,0,0,0,1994,2,No
2,5,2,5,0,5,3,2,0,1,45,1,2,0,5,1846,3,400,2,4,3,1,6,5,0,0,0,1,0,2,1994,2,No
1,4,5,0,0,5,2,1,1,3,38,1,2,0,1,1847,9,400,2,4,3,1,6,5,0,0,0,0,0,3,1994,2,No
0,3,2,0,1,3,0,3,0,1,33,0,2,0,1,1848,15,400,2,4,3,0,6,4,0,0,0,3,0,0,1994,2,No
0,2,1,1,0,2,0,2,0,1,30,1,0,2,2,1849,10,400,3,4,3,2,5,4,0,0,0,1,4,1,1994,0,No
0,2,1,1,0,1,0,2,0,1,55,1,1,0,1,1850,2,400,3,4,3,0,6,6,0,0,0,3,0,0,1994,1,No
0,2,6,1,0,2,0,3,0,1,31,0,2,0,2,1851,13,400,2,4,3,1,6,4,0,0,0,3,0,0,1994,2,No
0,1,5,0,0,1,0,2,0,1,55,0,1,0,1,1852,11,400,2,4,3,1,7,6,0,0,0,3,0,0,1994,1,No
0,1,5,5,1,1,0,2,0,1,37,0,1,0,2,1853,3,400,2,4,3,1,6,5,0,0,0,0,0,0,1994,1,No
0,2,0,5,1,1,0,2,0,1,39,0,2,0,1,1854,15,400,3,4,3,1,4,5,0,0,0,3,0,0,1994,2,No
0,1,1,5,0,5,1,1,0,0,29,0,1,0,2,1855,13,400,3,4,3,2,5,4,0,0,1,3,0,0,1994,1,No
2,2,1,3,0,1,2,2,0,1,37,0,1,0,2,1856,10,400,1,4,3,0,5,5,0,0,0,0,0,0,1994,1,Yes
11,5,5,5,0,3,0,1,0,0,30,1,2,0,2,1857,4,400,1,4,3,0,6,4,0,0,0,3,0,0,1994,2,No
0,1,0,3,0,2,0,1,1,1,39,0,0,2,1,1858,16,400,3,4,3,1,6,5,0,0,0,3,0,0,1994,0,No
0,1,0,3,0,4,1,1,0,1,73,0,0,2,1,1859,13,400,2,4,3,3,7,8,0,0,0,1,0,0,1994,0,No
11,3,2,3,0,4,11,4,0,1,32,1,2,0,1,1860,14,400,1,4,3,0,6,4,0,0,0,3,0,0,1994,2,No
2,2,1,5,0,2,2,2,0,1,51,1,1,0,1,1861,13,700,3,4,3,2,7,6,0,0,0,2,0,0,1994,1,No
2,2,1,1,0,4,2,2,0,1,50,0,0,2,1,1862,11,400,3,4,3,2,7,6,0,0,0,3,0,0,1994,0,Yes
2,2,1,2,0,5,3,1,0,0,29,0,5,1,5,1863,11,400,2,4,3,1,6,4,0,0,0,3,0,0,1994,2,Yes
9,1,0,1,0,2,9,1,1,1,61,0,0,2,0,1864,4,400,1,4,3,1,7,7,0,0,0,0,0,0,1994,0,No
8,5,3,1,0,2,9,1,0,1,60,0,1,0,1,1865,10,400,1,4,3,1,7,7,0,0,0,1,0,0,1994,1,No
7,1,3,4,0,5,7,1,0,1,75,0,0,2,3,1866,7,400,2,4,3,3,7,8,0,0,0,0,0,0,1994,0,No
6,4,1,0,0,2,6,4,0,1,27,1,1,0,1,1867,3,400,4,4,3,2,6,4,0,0,0,0,0,0,1994,1,No
6,1,1,5,0,1,6,1,1,0,27,0,0,2,1,1868,2,400,4,4,3,1,4,4,0,0,0,2,0,0,1994,0,No
5,3,2,5,0,3,5,3,0,0,35,0,2,0,0,1869,13,400,3,4,3,0,5,4,0,0,0,3,0,0,1994,2,No
5,1,0,1,0,3,5,2,0,1,51,1,1,0,5,1870,12,400,2,4,3,2,7,6,0,0,0,0,4,1,1994,1,No
3,3,5,1,0,1,3,4,0,1,40,1,1,0,2,1871,1,400,3,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
3,2,1,5,0,1,3,2,0,1,42,0,0,2,1,1872,15,400,2,4,3,0,6,5,0,0,0,3,0,0,1994,0,No
3,2,1,1,0,1,3,2,0,1,68,0,2,0,1,1873,5,400,2,4,3,1,7,8,0,0,0,0,0,0,1994,2,No
3,1,2,2,0,2,3,1,0,1,51,0,0,2,2,1874,7,400,3,4,3,2,5,6,0,0,0,1,0,0,1994,0,No
2,2,2,6,0,3,3,2,0,1,43,1,2,0,2,1875,8,400,1,4,3,0,6,5,0,0,0,0,0,0,1994,2,No
1,4,5,0,0,5,1,4,0,0,71,0,0,2,5,1876,11,400,1,4,3,1,0,8,0,0,0,0,0,0,1994,0,No
1,2,3,5,0,3,1,2,0,1,37,0,0,2,1,1877,9,400,4,4,3,3,6,5,0,0,0,0,0,0,1994,0,No
1,2,2,5,0,5,1,4,1,0,26,0,0,2,1,1878,1,400,1,4,3,0,5,4,0,0,0,0,0,0,1994,0,No
1,1,6,5,0,3,1,2,0,0,32,0,2,0,1,1879,3,400,2,4,3,0,3,4,0,0,0,0,0,0,1994,2,No
1,1,5,3,0,1,1,2,1,0,33,0,0,2,1,1880,15,400,4,4,3,2,5,4,0,0,0,1,0,0,1994,0,No
1,1,6,5,0,1,1,2,0,1,47,0,1,0,1,1881,7,400,2,4,3,2,7,6,0,0,0,0,0,0,1994,1,No
2,4,3,7,0,5,2,4,0,1,53,1,1,0,2,1882,9,400,3,0,1,1,7,6,0,0,0,1,0,0,1994,1,No
2,2,2,0,0,5,6,1,0,1,36,0,1,0,2,1883,10,400,4,4,3,1,5,5,0,0,0,3,0,0,1994,1,Yes
6,5,4,0,0,4,6,5,0,1,41,0,0,2,2,1884,5,400,3,4,3,2,6,5,0,0,0,0,0,0,1994,0,No
10,4,5,5,0,3,1,2,0,1,28,0,2,0,1,1885,1,400,2,4,3,1,5,4,0,0,0,0,0,0,1994,2,No
7,4,5,0,0,1,7,5,1,0,24,0,1,0,1,1886,5,400,2,4,3,3,3,3,0,0,0,0,0,0,1994,1,No
1,4,1,5,0,3,2,1,0,1,55,1,1,0,1,1887,11,400,1,4,3,0,7,6,0,0,0,1,0,2,1994,1,No
2,3,3,16,0,3,2,3,0,1,65,0,2,0,5,1888,15,500,4,4,3,1,5,7,0,0,0,0,3,0,1994,2,No
2,2,2,4,0,3,2,2,1,1,47,0,1,0,5,1889,15,400,3,4,3,2,7,6,0,0,0,0,0,0,1994,1,Yes
2,1,5,1,0,5,2,1,1,1,45,0,0,2,2,1890,5,400,3,4,3,1,6,5,0,0,0,3,0,0,1994,0,No
7,1,6,4,0,4,7,4,0,1,43,0,1,0,5,1891,1,400,4,4,3,1,6,5,0,0,0,2,4,1,1994,1,No
7,1,6,5,0,4,7,3,0,1,76,0,1,0,1,1892,1,700,2,4,3,1,7,8,0,0,0,3,0,0,1994,1,No
2,3,0,2,0,2,2,4,0,1,47,0,0,2,4,1893,11,400,2,4,3,0,7,6,0,0,0,0,0,0,1994,0,No
1,3,6,3,1,1,1,3,1,1,55,0,1,0,1,1894,5,400,2,4,3,2,6,6,0,0,0,3,0,0,1994,1,No
2,2,3,0,0,3,2,2,0,1,43,0,2,0,2,1895,11,400,3,4,3,1,7,5,0,0,0,1,0,0,1994,2,Yes
1,3,2,5,0,3,1,3,1,0,30,0,0,2,2,1896,14,400,4,4,3,3,5,4,0,0,0,0,0,0,1994,0,No
1,3,3,0,0,5,1,3,0,1,28,0,1,0,2,1897,14,400,2,4,3,1,6,4,0,0,0,0,0,0,1994,1,No
1,2,5,5,0,4,1,3,1,0,35,0,0,2,1,1898,8,400,4,4,3,3,5,4,0,0,0,2,0,0,1994,0,No
1,2,4,0,0,5,1,2,0,1,27,0,1,0,1,1899,5,400,1,4,3,2,6,4,0,0,0,3,0,0,1994,1,No
1,2,3,4,0,3,1,2,0,1,43,0,0,2,1,1900,15,400,1,4,3,2,7,5,0,0,0,3,0,0,1994,0,No
2,2,3,0,0,4,2,2,0,0,0,0,0,2,5,1901,13,400,4,4,3,2,0,0,0,0,0,0,0,0,1994,0,No
2,2,3,5,0,5,3,1,0,1,28,1,2,0,2,1902,3,400,3,4,3,0,4,4,0,0,0,3,0,0,1994,2,No
1,1,6,3,0,1,1,1,0,1,48,1,1,0,1,1903,6,400,2,4,3,1,6,6,0,0,0,0,0,0,1994,1,No
2,2,3,0,0,3,2,4,0,3,35,1,2,0,1,1904,14,400,1,4,3,2,6,4,0,0,0,0,0,0,1994,2,No
6,5,4,5,0,5,6,5,0,1,29,0,2,0,1,1905,8,400,2,4,3,0,4,4,0,0,0,2,0,0,1994,2,No
2,2,3,0,0,4,2,3,0,0,0,1,1,0,5,1906,2,400,2,4,3,0,0,0,0,0,0,0,0,0,1994,1,No
3,2,4,0,0,4,3,2,0,0,0,0,0,2,5,1907,11,400,2,4,3,3,0,0,0,0,0,0,0,0,1994,0,No
3,1,5,5,0,1,3,1,0,1,54,1,2,0,0,1908,3,400,2,4,3,1,7,6,0,0,0,0,0,0,1994,2,No
2,2,3,0,0,4,2,2,0,1,28,0,0,2,1,1909,7,400,1,4,3,3,5,4,0,0,0,2,0,0,1994,0,No
2,2,4,0,0,4,2,2,0,1,45,1,2,0,1,1910,14,400,2,4,3,1,6,5,0,0,0,3,0,0,1994,2,No
2,1,4,3,0,4,2,1,0,0,29,1,2,0,1,1911,3,400,3,4,3,1,4,4,0,0,0,0,0,0,1994,2,No
1,2,6,0,0,4,1,3,0,0,34,0,0,2,1,1912,9,400,1,4,3,1,5,4,0,0,0,1,2,1,1994,0,No
11,5,4,1,0,2,0,1,0,0,32,1,1,0,1,1913,16,400,4,4,3,2,5,4,0,0,0,2,0,0,1994,1,No
0,1,6,5,0,2,0,1,1,0,35,0,0,2,1,1914,1,400,4,4,3,3,5,4,0,0,0,0,0,0,1994,0,No
3,2,2,1,1,3,3,2,1,1,28,0,2,0,1,1915,16,400,3,4,3,1,5,4,0,0,0,0,0,0,1994,2,No
2,5,3,1,1,3,2,5,0,1,58,1,2,0,1,1916,2,400,3,4,3,0,7,7,0,0,0,0,0,0,1994,2,No
1,2,0,1,1,3,1,3,0,1,39,0,1,0,2,1917,7,400,4,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
1,2,0,0,0,0,1,2,0,1,38,0,0,2,1,1918,2,400,3,4,3,1,6,5,0,0,0,3,0,3,1994,0,No
1,2,6,0,0,1,1,2,0,1,47,0,0,2,1,1919,9,400,2,4,3,1,6,6,0,0,0,1,0,0,1994,0,No
2,2,4,3,0,2,2,3,0,1,26,1,1,0,1,1920,6,400,3,4,3,2,5,4,0,0,0,3,0,0,1994,1,No
2,2,6,5,0,3,2,4,0,1,54,0,0,2,2,1921,15,400,1,4,3,0,7,6,0,0,0,3,0,0,1994,0,No
1,4,1,4,0,2,1,4,1,1,51,0,2,0,5,1922,1,400,1,4,3,1,7,6,0,0,0,0,0,0,1994,2,No
